flowrate $(ml/s)$,150,300,450,600
48yo (NC04),6.79736123291,17.3776984187,34.4942132116,57.9857412462
60yo (NC09),3.02170073453,10.1129533123,21.3320961887,36.5027542141
78yo (NC05),3.98116934333,13.0756795889,26.3223258465,43.2768276087
68yo (NC06),1.57766021727,5.01128421058,9.67032749434,15.3602216825
64yo (NC07),0.308494555581,0.933680894346,1.73230798373,2.66958758669
Inthavong et al 2014,5.87333303234,20.233868163,43.0369570406,73.9466849836
Kelly et al 2004,7.78748025003,22.5061861985,44.105043871,71.8865052327
Wen et al 2008,4.84606191113,14.8703721512,30.4566414474,51.2900761357
Weinhold et al. 2004,6.41247095132,17.4389079162,34.6536514995,57.7265620091
Garcia 2007 (AR patient),4.18902200898,11.6864269205,22.4291626153,36.030235195
